domain,method,backbone,family,family_label,auroc
skin_isic_pad,ReAct,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.7119797796687366
skin_isic_pad,ReAct,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.7073305464990958
skin_isic_pad,ReAct,resnet18,resnet_like,ResNet-like (R18/R50),0.7795357080047078
skin_isic_pad,ReAct,resnet50,resnet_like,ResNet-like (R18/R50),0.6964086815748771
skin_isic_pad,ViM,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.8038100262900382
skin_isic_pad,ViM,densenet121,dense_connection,dense-connection (DenseNet121),0.7498568252636897
skin_isic_pad,ViM,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.7643388934734867
skin_isic_pad,ViM,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.7550719932178014
skin_isic_pad,ViM,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.7575364024585469
skin_isic_pad,ViM,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.7175782500665142
skin_isic_pad,ViM,resnet18,resnet_like,ResNet-like (R18/R50),0.7844509981646576
skin_isic_pad,ViM,resnet50,resnet_like,ResNet-like (R18/R50),0.8388258318790389
