backbone,corruption_type,severity_level,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,logit_gap_trim1,logit_gap_ci_lo,logit_gap_ci_hi,mahalanobis_auroc,msp_auroc,seconds
resnet50,zoom_blur,5,0.10517589500000002,0.10066640137499987,0.10997037837499991,-3.3961028371264064,-3.4740326437901454,-3.316932850162145,0.90494876,0.799772865,45.395634174346924
resnet50,snow,1,0.013443030000000022,0.007188527874999956,0.019768707250000007,-0.8008022848689809,-0.8717676000341282,-0.7225955492343383,0.5916628899999999,0.5782198599999999,44.21344184875488
resnet50,snow,2,0.045601025000000184,0.03996255687500001,0.0515990527500001,-1.8573454221950456,-1.933383197668581,-1.7799640321681884,0.71714171,0.6715406849999999,45.71441078186035
resnet50,snow,3,0.017915819999999916,0.012092924874999985,0.023515314124999995,-1.7751056327836778,-1.8539628963578494,-1.6948830593652158,0.6820107099999999,0.66409489,44.28504991531372
resnet50,snow,4,0.015482834999999806,0.010476501374999975,0.02066892824999998,-2.2638078096063516,-2.33856802559957,-2.1879857247685592,0.7209271449999999,0.7054443100000001,45.68277859687805
resnet50,snow,5,0.049625229999999854,0.044819482500000035,0.05494135262499985,-2.6835810799082296,-2.7634118870794184,-2.610367290366114,0.7867280149999999,0.737102785,45.73171257972717
resnet50,frost,1,0.025131565000000022,0.018969020749999923,0.03135116574999996,-0.7140005189572296,-0.7865163269750535,-0.6362312942002747,0.596817315,0.57168575,45.644859075546265
resnet50,frost,2,0.04552756999999996,0.040016645000000156,0.05124243937499985,-1.4826324638278923,-1.561533676321623,-1.40872792248248,0.6875911299999999,0.64206356,44.244736194610596
resnet50,frost,3,0.061405475000000154,0.056060491625000014,0.06649723275000001,-2.359873155465161,-2.4418404867941743,-2.27984076360666,0.7738130700000001,0.712407595,45.5534462928772
resnet50,frost,4,0.063344065,0.058284201500000084,0.06871716237499988,-2.369948300895661,-2.4488427342645744,-2.2875865232803783,0.77771806,0.714373995,45.04500603675842
resnet50,frost,5,0.06960015499999994,0.06491345549999997,0.07445194262499999,-3.0477176477015906,-3.132832862821183,-2.9686956645761677,0.83553402,0.765933865,45.480207443237305
resnet50,fog,1,0.0018291750000001272,-0.004712739250000086,0.008629907749999931,-0.04061904646607495,-0.1095572821777604,0.03364424570886939,0.50687539,0.5050462149999999,45.164453983306885
resnet50,fog,2,0.014845454999999896,0.008576733249999951,0.021303764999999995,-0.3346973030492748,-0.40519592122593406,-0.26102047195910616,0.5506785299999999,0.535833075,43.70150852203369
